;cargo;empresa;local
0;Pessoa Desenvolvedora Full Stack Pleno;Conquer Business School;Curitiba - PR
1;PESSOA DESENVOLVEDORA JAVA SR;NAVA | Technology for Business;São Paulo - SP
2;PESSOA DESENVOLVEDORA JAVA SR;NAVA | Technology for Business;São Paulo - SP
3;PESSOA DESENVOLVEDORA JAVA SR;NAVA | Technology for Business;São Paulo - SP
4;PESSOA DESENVOLVEDORA JAVA SR;NAVA | Technology for Business;São Paulo - SP
5;PESSOA DESENVOLVEDORA JAVA SR;NAVA | Technology for Business;São Paulo - SP
6;ANALISTA DESENVOLVEDOR SR;Stefanini Group;Brasãlia - DF
7;Desenvolvedor PHP - Pleno;Framework Digital;Belo Horiz... - MG
8;Desenvolvimento | Desenvolvedor Flutter Sênior;DM;São José d... - SP
9;Desenvolvedor PHP Pleno - 100% remoto;DOC9;Porto Alegre - RS
10;Desenvolvedor Full Stack Pleno | Projeto X;Clinicorp Solutions;Jaraguá do... - SC
11;Desenvolvedor Full Stack PL;Codesign;Curitiba - PR
12;Desenvolvedor(a) Java Pleno;Confitec;São Paulo - SP
13;Pessoa Desenvolvedora Back-End (Sênior);Vem pra Kobe!;Porto Alegre - RS
14;Desenvolvedor Sênior React / GoLang;BrandMonitor;Não informado
15;Desenvolvedor Python Pleno  - 100% remoto;DOC9;Porto Alegre - RS
16;Pessoa Desenvolvedora Frontend ReactJS - Pleno;Superlógica Tecnologias;Campinas - SP
17;Pessoa Desenvolvedora Java;Minsait an Indra Company;São Paulo - SP
18;Desenvolvedor(a) Ruby on Rails Sênior;Lyncas;Jaraguá do... - SC
19;Desenvolvimento | Desenvolvedor Full Stack Pleno;DM;São José d... - SP
20;MONITOR ESTAGIO;Cogna Educação;Paragominas - PA
21;ESTÁGIO EM ENGENHARIA CIVIL (CANTEIRO DE OBRAS) - São Paulo- Jardim das Cerejeiras;Grupo Direcional Engenharia;São Paulo - SP
22;Estágio em Auditoria;Sá Cavalcante;Serra - ES
23;Estágio- Product Owner (Híbrida);dtidigital;Belo Horiz... - MG
24;Estágio | Tesouraria;Vem Ser Fator;São Paulo - SP
25;Estágio de Comunicação & Marketing;BIOTRONIK;São Paulo - SP
26;Estágio em Segurança do Trabalho - Obra;Cyrela;São Paulo - SP
27;Estágio Técnico;Trabalhe na Mills;Cabo de Sa... - PE
28;Estágio Nível Técnico - Engenharia;Silimed Indústria de Implantes LTDA;Duque de C... - RJ
29;Estágio em engenharia - Manutenção;Docol Metais Sanitários;Não informado
30;Estágio em Logística;GrupoSC Distribuidora de Medicamentos;Anápolis - GO
31;PESSOA ESTÁGIARIA - ENFERMAGEM;Cogna Educação;Cuiabá - MT
32;Estágio Administrativo/Financeiro | Presencial em Porto Alegre - RS;Zallpy Digital;Porto Alegre - RS
33;Estágio Controles Internos;Mobilize Financial Services;Curitiba - PR
34;Estágio - Florianópolis/SC (Ingleses);Sicredi;Florianópolis - SC
